Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,group,pathway_db,n_genes
KEGG_2021_Human_fixed.gmt,Arrhythmogenic right ventricular cardiomyopathy,2/77,0.12090552510059085,0.2994736852491558,4.275292090669251,9.032605505165103,ACTB;ACTG1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Ascorbate and aldarate metabolism,1/30,0.2096743826762662,0.4167601927268995,6.497491525423729,10.15037807925586,ALDH2,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Asthma,12/31,2.1074135640495887e-18,3.392935838119838e-16,99.53323375653473,4051.1091420555927,FCER1G;HLA-DRB1;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQB1;HLA-DPA1;HLA-DQA1;HLA-DMA;FCER1A;HLA-DRB5,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Autoimmune thyroid disease,10/53,5.938847341698909e-12,6.829674442953746e-11,35.97002900418949,929.8074824201394,HLA-DRB1;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQB1;HLA-DPA1;HLA-DQA1;HLA-DMA;HLA-DRB5,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Autophagy,2/137,0.289686761891622,0.501500738328507,2.3641736417364174,2.9291049225608514,RAB7A;GABARAP,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Axon guidance,1/182,0.7633674715235904,0.8085668612848557,1.0359669421487603,0.2797273904264658,RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,B cell receptor signaling pathway,1/81,0.4713167889252618,0.6396077396002712,2.365863354037267,1.7796611429692257,RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Bacterial invasion of epithelial cells,5/77,0.0003151640634403936,0.0017497039384104611,10.301031535514294,83.05121401929517,ACTB;ACTG1;ARPC3;ARPC1B;RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Bladder cancer,1/41,0.2751650890949448,0.49223977049206796,4.726222222222222,6.098641713026823,TYMP,5,KEGG,100
KEGG_2021_Human_fixed.gmt,C-type lectin receptor signaling pathway,4/104,0.008634617479866222,0.03658351090153847,5.956728960240813,28.306232266302604,FCER1G;IL1B;PYCARD;LSP1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Calcium signaling pathway,1/240,0.8515579801343818,0.8732537248511814,0.7792734864300627,0.1252196559736985,SLC25A6,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Cell adhesion molecules,10/148,1.7501778210030126e-07,1.225124474702109e-06,11.162826006275516,173.67546941359473,HLA-DRB1;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQB1;HLA-DPA1;HLA-DQA1;HLA-DMA;HLA-DRB5,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Cellular senescence,1/156,0.7086776128127263,0.7707393979286522,1.2131961414790997,0.41776962683354835,SLC25A6,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Chagas disease,1/102,0.5523156544714626,0.6735918308876611,1.871408866995074,1.110934847624876,IL1B,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Chemical carcinogenesis,2/239,0.5606292257077428,0.6735918308876611,1.3313649978605049,0.7704549447064953,KLF4;GSTP1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Chemokine signaling pathway,1/192,0.7815940879106213,0.8171210919065587,0.9806161879895562,0.24164318840614546,RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Choline metabolism in cancer,1/98,0.537891993446519,0.6735918308876611,1.9491692307692308,1.2086749566490353,RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Colorectal cancer,1/86,0.49182100989817273,0.6598598549467151,2.2261052631578946,1.579734295508024,RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Coronavirus disease,2/232,0.5443569119518867,0.6735918308876611,1.373031409272878,0.8350092700138115,IL1B;RPS11,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Cytokine-cytokine receptor interaction,1/295,0.9049133311745374,0.9220952298677249,0.6292563667232598,0.06287284616974775,IL1B,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Cytosolic DNA-sensing pathway,2/63,0.08637447130632336,0.23569982847996712,5.257783065635534,12.87664258756711,IL1B;PYCARD,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Diabetic cardiomyopathy,4/203,0.0732952079345169,0.21072372281173607,2.9632273962216464,7.743683768545997,SLC25A6;RAC1;CYBA;GAPDH,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Dilated cardiomyopathy,2/96,0.17198971396369686,0.37931978011171497,3.407536456316944,5.998356641432805,ACTB;ACTG1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Drug metabolism,2/108,0.20584261125595266,0.4167601927268995,3.0190083590976755,4.77197571354103,TYMP;GSTP1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Endocrine and other factor-regulated calcium reabsorption,1/53,0.34052542871036195,0.5428177625977058,3.640457142857143,3.9217387956951693,AP2S1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Endocytosis,6/252,0.013358730492511916,0.05243032927818018,3.5630478878207956,15.376636512101848,AP2S1;ARF3;RAB7A;ARPC3;ARPC1B;ARF5,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Epithelial cell signaling in Helicobacter pylori infection,1/70,0.4232986285629396,0.6139736864741737,2.744115107913669,2.359053662600134,RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Epstein-Barr virus infection,13/202,3.54595249790041e-09,3.0047281692735054e-08,11.040805663679825,214.8260238079167,HLA-DRB1;HLA-DMB;HLA-DPB1;HLA-DRA;BID;HLA-DQA2;HLA-DQB1;HLA-DPA1;HLA-DQA1;VIM;HLA-DMA;RAC1;HLA-DRB5,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Ether lipid metabolism,1/49,0.31941049931743787,0.5228163898328024,3.942680412371134,4.4996950927840675,PLD4,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Fatty acid degradation,1/43,0.28648484566422544,0.5013484799123945,4.502682352941177,5.628666503207473,ALDH2,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Fc epsilon RI signaling pathway,3/68,0.015812202001631165,0.05785828459687767,7.022080625828023,29.120381275976413,FCER1G;FCER1A;RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Fc gamma R-mediated phagocytosis,4/97,0.006774707277973673,0.031297629134249265,6.408349436031097,32.00688011572935,ARPC1B;RAC1;ARPC3;GSN,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Ferroptosis,1/41,0.2751650890949448,0.49223977049206796,4.726222222222222,6.098641713026823,FTH1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Fluid shear stress and atherosclerosis,6/139,0.0007074609965852316,0.003674232917749106,6.674645823155838,48.41673315234374,ACTB;ACTG1;IL1B;CYBA;GSTP1;RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Focal adhesion,3/201,0.2064146796622711,0.4167601927268995,2.2783479401294837,3.594932593549588,ACTB;ACTG1;RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,FoxO signaling pathway,1/131,0.644434124702051,0.7370281151518027,1.450206896551724,0.6371957830528687,GABARAP,5,KEGG,100
KEGG_2021_Human_fixed.gmt,GABAergic synapse,1/89,0.5037457511412676,0.6647792289651155,2.1498305084745764,1.4741035229046902,GABARAP,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Gap junction,1/88,0.49980176001245485,0.6647792289651155,2.1746742857142856,1.5082317355563444,TUBA1B,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Gastric acid secretion,2/76,0.11833577829508576,0.2994736852491558,4.333224204725269,9.24809326708576,ACTB;ACTG1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Glutathione metabolism,3/57,0.009806723764421143,0.04048416733517446,8.45105769959815,39.08349693440794,LAP3;GSTP1;GPX1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Glycerolipid metabolism,1/61,0.3808396826236448,0.5730391486206244,3.155900826446281,3.0466333555021596,ALDH2,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Glycerophospholipid metabolism,1/98,0.537891993446519,0.6735918308876611,1.9491692307692308,1.2086749566490353,PLD4,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Glycolysis / Gluconeogenesis,2/67,0.09589894764909689,0.25732884285841,4.934214609321666,11.568070118031438,ALDH2;GAPDH,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Graft-versus-host disease,11/42,9.222116496960852e-15,4.92797482821747e-13,55.5233560090703,1794.3578366512627,HLA-DRB1;HLA-DMB;IL1B;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQB1;HLA-DPA1;HLA-DQA1;HLA-DMA;HLA-DRB5,5,KEGG,100
KEGG_2021_Human_fixed.gmt,HIF-1 signaling pathway,1/109,0.5764985099532444,0.6875278526109062,1.7491244239631336,0.9633871648796183,GAPDH,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Hematopoietic cell lineage,14/99,1.5304269652849285e-14,4.92797482821747e-13,27.170476696792488,864.3103762700192,CD1C;HLA-DRB1;HLA-DMB;IL1B;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQB1;HLA-DPA1;CD1D;HLA-DQA1;HLA-DMA;CD33;HLA-DRB5,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Hepatitis B,1/162,0.722308894614955,0.775278213553385,1.167232198142415,0.3797034350705421,BID,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Hepatitis C,1/157,0.7109943649451167,0.7707393979286522,1.2052907348242812,0.4111135505336996,BID,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Hepatocellular carcinoma,3/168,0.1429027789984378,0.3433932450559476,2.744176175376395,5.339043775171044,ACTB;ACTG1;GSTP1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Herpes simplex virus 1 infection,14/498,2.1637239371067218e-05,0.00012902205699043785,4.553554117021609,48.910155914077706,HLA-DRB1;HLA-DMB;IL1B;HLA-DPB1;HLA-DRA;BID;HLA-DQA2;HLA-DQB1;HLA-DPA1;HLA-DQA1;HLA-DMA;CFP;HLA-DRB5;CD74,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Hippo signaling pathway,3/163,0.1339448011653107,0.32674413617598524,2.8314667490538348,5.692175458218379,ACTB;ACTG1;ID2,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Histidine metabolism,1/22,0.15842055286680096,0.36193005604940975,8.924093023255814,16.442659735002728,ALDH2,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Human T-cell leukemia virus 1 infection,12/219,9.199335319886866e-08,6.732240847735388e-07,9.133816820680781,147.98198543868855,SLC25A6;HLA-DRB1;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQB1;HLA-DPA1;HLA-DQA1;HLA-DMA;HLA-DRB5;SPI1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Human cytomegalovirus infection,3/225,0.2560597777873603,0.4738577496984483,2.02635342185904,2.760591145057199,IL1B;RAC1;BID,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Human immunodeficiency virus 1 infection,4/212,0.08297457869723314,0.2303259856940437,2.832053684783266,7.049607502048024,RAC1;BID;SAMHD1;AP1S2,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Huntington disease,4/306,0.21539479171436648,0.41781399356642174,1.9285089242308493,2.960806376887812,TUBA1B;SLC25A6;AP2S1;GPX1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Hypertrophic cardiomyopathy,2/90,0.1554546542141293,0.36193005604940975,3.641311836847182,6.777942232371054,ACTB;ACTG1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,IL-17 signaling pathway,1/94,0.5230112350005451,0.6735918308876611,2.033582887700535,1.3180714936451126,IL1B,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Inflammatory bowel disease,11/65,1.6819356529856506e-12,2.256597001089081e-11,31.99903888160769,867.5283690099442,HLA-DRB1;HLA-DMB;IL1B;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQB1;HLA-DPA1;HLA-DQA1;HLA-DMA;HLA-DRB5,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Inflammatory mediator regulation of TRP channels,1/98,0.537891993446519,0.6735918308876611,1.9491692307692308,1.2086749566490353,IL1B,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Influenza A,16/172,1.3610211999035516e-13,3.130348759778169e-12,17.44499747771986,516.814520778153,ACTB;SLC25A6;HLA-DRB1;HLA-DMB;IL1B;ACTG1;HLA-DRA;BID;HLA-DQA2;HLA-DPB1;PYCARD;HLA-DPA1;HLA-DQB1;HLA-DQA1;HLA-DMA;HLA-DRB5,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Intestinal immune network for IgA production,10/48,2.0528270667169467e-12,2.5423473672417572e-11,40.666949872557346,1094.4209523598652,HLA-DRB1;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQB1;HLA-DPA1;HLA-DQA1;HLA-DMA;HLA-DRB5,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Kaposi sarcoma-associated herpesvirus infection,3/193,0.19041388978755944,0.4087551500772943,2.3764560421682828,3.941483547034038,GABARAP;RAC1;BID,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Legionellosis,2/57,0.07268455683782248,0.21072372281173607,5.830586684245221,15.285619629923385,IL1B;PYCARD,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Leishmaniasis,12/77,4.188716207376272e-13,6.743833093875798e-12,29.461572667308975,839.6905259801491,HLA-DRB1;HLA-DMB;IL1B;HLA-DPB1;HLA-DRA;HLA-DQA2;CYBA;HLA-DQB1;HLA-DPA1;HLA-DQA1;HLA-DMA;HLA-DRB5,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Leukocyte transendothelial migration,4/114,0.011829088853621097,0.047612082635824914,5.410814099395414,24.008829822158432,ACTB;ACTG1;RAC1;CYBA,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Lipid and atherosclerosis,5/215,0.02570898333019467,0.08623221492002796,3.4862253080780397,12.762773834272426,IL1B;PYCARD;BID;CYBA;RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Lysine degradation,1/63,0.3905331463092761,0.5821836718129023,3.054144,2.8716357809882993,ALDH2,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Lysosome,2/128,0.2635631941568462,0.48220084385513906,2.5352678427970052,3.380683616533361,AP1S2;CTSH,5,KEGG,100
KEGG_2021_Human_fixed.gmt,MAPK signaling pathway,2/294,0.6742014556189261,0.7515303737532306,1.0733791953304148,0.42315432708394507,IL1B;RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Malaria,1/50,0.32475078310657757,0.5228487608015899,3.8625454545454545,4.344194104030507,IL1B,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Measles,2/139,0.29548391819911174,0.5060947960644361,2.3291943828529194,2.839616056888748,IL1B;BID,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Metabolism of xenobiotics by cytochrome P450,1/76,0.4499989063217301,0.6245674475672288,2.524132450331126,2.015545322511684,GSTP1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,MicroRNAs in cancer,1/310,0.9158361084299822,0.9273560594794159,0.5975961227786752,0.0525393670265857,VIM,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Mineral absorption,1/60,0.37593621310828207,0.5730391486206244,3.209344537815126,3.1398166429529146,FTH1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Mitophagy,2/68,0.09832581872932313,0.2595156854987053,4.859404609083684,11.271236570355947,RAB7A;GABARAP,5,KEGG,100
KEGG_2021_Human_fixed.gmt,NF-kappa B signaling pathway,1/104,0.5593604087900722,0.6735918308876611,1.8347826086956522,1.0659376439484787,IL1B,5,KEGG,100
KEGG_2021_Human_fixed.gmt,NOD-like receptor signaling pathway,4/181,0.05227651439901733,0.1683303763648358,3.339874541365842,9.856664680011981,PYCARD;IL1B;GABARAP;CYBA,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Natural killer cell mediated cytotoxicity,4/131,0.018837050968712056,0.0659296783904922,4.67928818586258,18.585803029666856,FCER1G;RAC1;BID;TYROBP,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Necroptosis,5/159,0.007783735614753464,0.03481059538820299,4.783918347025143,23.229362733189753,SLC25A6;FTH1;IL1B;PYCARD;BID,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Neurotrophin signaling pathway,1/119,0.6088302913721424,0.7051919202224096,1.5994936708860759,0.7936939000231754,RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Neutrophil extracellular trap formation,5/189,0.015627824912455436,0.05785828459687767,3.990758112709332,16.596374963234386,ACTB;SLC25A6;ACTG1;CYBA;RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Non-alcoholic fatty liver disease,3/155,0.12005324445616457,0.2994736852491558,2.983037528790137,6.323502407872037,IL1B;RAC1;BID,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Olfactory transduction,1/440,0.9710602466560843,0.9710602466560843,0.4137337883959044,0.012150023609029337,RGS2,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Osteoclast differentiation,5/127,0.0030105479872934173,0.015146819561070007,6.05815454386883,35.17142291563355,IL1B;CYBA;RAC1;SPI1;TYROBP,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Oxidative phosphorylation,1/133,0.6500496419351303,0.7370281151518027,1.427954716981132,0.6150294451388144,PPA1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Oxytocin signaling pathway,4/154,0.031758705759495555,0.1043500332097711,3.952622909628968,13.634922115227402,ACTB;MYL6;ACTG1;RGS2,5,KEGG,100
KEGG_2021_Human_fixed.gmt,PI3K-Akt signaling pathway,1/354,0.9412399058706841,0.9471226552823758,0.5202263083451202,0.03150346113722843,RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Pancreatic cancer,1/76,0.4499989063217301,0.6245674475672288,2.524132450331126,2.015545322511684,RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Pancreatic secretion,1/102,0.5523156544714626,0.6735918308876611,1.871408866995074,1.110934847624876,RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Pantothenate and CoA biosynthesis,1/21,0.1517881404112854,0.3593807442090728,9.360585365853659,17.647226499393213,ALDH2,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Parkinson disease,2/249,0.5831684885447453,0.6892030397792256,1.275930032027593,0.6880824398267281,TUBA1B;SLC25A6,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Pathogenic Escherichia coli infection,9/197,1.9257727629041633e-05,0.00011924977493368089,7.238337429732558,78.59095903191884,ACTB;GAPDH;IL1B;ACTG1;PYCARD;ARPC3;TUBA1B;ARPC1B;RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Pathways in cancer,4/531,0.6017714037746866,0.7020666377371344,1.0736628300609343,0.5452893375629927,GSTP1;RAC1;BID;SPI1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Pathways of neurodegeneration,7/475,0.07525514799431067,0.21256278644007048,2.1384856584278578,5.531986460585136,SLC25A6;GPX1;IL1B;BID;TUBA1B;GABARAP;RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Pentose phosphate pathway,1/30,0.2096743826762662,0.4167601927268995,6.497491525423729,10.15037807925586,PGLS,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Pertussis,2/76,0.11833577829508576,0.2994736852491558,4.333224204725269,9.24809326708576,IL1B;PYCARD,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Phagosome,16/152,1.908805442418569e-14,5.121961270489827e-13,20.051937536148063,633.4349654627563,ACTB;HLA-DMA;HLA-DRB1;RAB7A;HLA-DMB;ACTG1;HLA-DPB1;HLA-DRA;HLA-DQA2;CYBA;HLA-DQB1;HLA-DPA1;HLA-DQA1;TUBA1B;RAC1;HLA-DRB5,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Phospholipase D signaling pathway,2/148,0.32148337014563627,0.5228163898328024,2.183606648353173,2.47797748686871,FCER1G;FCER1A,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Platelet activation,3/124,0.07219133837306796,0.21072372281173607,3.758902152841547,9.880030759745527,FCER1G;ACTG1;ACTB,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Prion disease,5/273,0.06103106267305206,0.1853962469879506,2.7128396122809533,7.586109601117302,SLC25A6;IL1B;CYBA;TUBA1B;RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Prostate cancer,1/97,0.5342152058217567,0.6735918308876611,1.969616580310881,1.2348639452081056,GSTP1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Proteoglycans in cancer,3/205,0.2145321575428276,0.41781399356642174,2.2322007958371595,3.436016937538414,ACTB;ACTG1;RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Pyrimidine metabolism,1/56,0.35593727402190567,0.5618225599757531,3.4423783783783786,3.555979481837419,TYMP,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Pyruvate metabolism,1/47,0.3086049376958583,0.5175561975940957,4.113290322580645,4.8359680330983785,ALDH2,5,KEGG,100
KEGG_2021_Human_fixed.gmt,RNA transport,1/186,0.7708310701191394,0.8111359626743886,1.01311051212938,0.2636985175398206,EIF4A1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Rap1 signaling pathway,3/210,0.22477712086856003,0.4308228149980734,2.177018819077965,3.249518305165857,ACTB;ACTG1;RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Ras signaling pathway,1/232,0.8416640269032809,0.8686404380219758,0.8070323974082073,0.1391116948572615,RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Regulation of actin cytoskeleton,6/218,0.006803832420488971,0.031297629134249265,4.151222506393862,20.71571795843087,ACTB;ACTG1;ARPC3;ARPC1B;RAC1;GSN,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Renal cell carcinoma,1/69,0.4187262416512188,0.6128629536895112,2.7845255474452553,2.424035116707823,RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Rheumatoid arthritis,11/93,9.696225889200475e-11,1.040728245440851e-09,21.064415584415585,485.6758959911265,HLA-DRB1;HLA-DMB;IL1B;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQB1;HLA-DPA1;HLA-DQA1;HLA-DMA;HLA-DRB5,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Ribosome,1/158,0.713292983176206,0.7707393979286522,1.1974857142857143,0.40458614806823673,RPS11,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Salivary secretion,2/93,0.16368319841170773,0.3660138186706242,3.520591763294682,6.371645962373708,LYZ;CST3,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Salmonella infection,12/249,3.7286570614659664e-07,2.5013074454000857e-06,7.949412365866122,117.66757958983894,ACTB;S100A10;ANXA2;GAPDH;RAB7A;IL1B;ACTG1;PYCARD;ARPC3;TUBA1B;ARPC1B;RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Shigellosis,8/246,0.0006005668777137126,0.0032230422437302575,4.9943339565981075,37.04615411234154,ACTB;ACTG1;IL1B;PYCARD;ARPC3;ARPC1B;GABARAP;RAC1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Signaling pathways regulating pluripotency of stem cells,2/143,0.30705989146552065,0.5175561975940957,2.2622023040018386,2.6710104569105715,KLF4;ID2,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Sphingolipid signaling pathway,4/119,0.013677477203003524,0.05243032927818018,5.173305685910728,22.203852829481548,FCER1G;FCER1A;RAC1;BID,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Spinocerebellar ataxia,1/143,0.6768441254299282,0.7515303737532306,1.3260631578947368,0.5175813809625461,SLC25A6,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Staphylococcus aureus infection,10/95,2.3907435098367593e-09,2.1383872504651014e-08,18.204131824889327,361.3822615674632,HLA-DRB1;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQB1;HLA-DPA1;HLA-DQA1;HLA-DMA;HLA-DRB5,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Synaptic vesicle cycle,1/78,0.4586257037889295,0.6311003274360483,2.458374193548387,1.916353969846326,AP2S1,5,KEGG,100
KEGG_2021_Human_fixed.gmt,Systemic lupus erythematosus,10/135,7.321011783944343e-08,5.612775701023997e-07,12.339464571620061,202.73656634143612,HLA-DRB1;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQB1;HLA-DPA1;HLA-DQA1;HLA-DMA;HLA-DRB5,5,KEGG,100
