Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,group,category,n_genes,p_adj_global
GO_Biological_Process_2021_fixed.gmt,positive regulation of T cell receptor signaling pathway (GO:0050862),3/14,4.085421186193169e-05,0.001918105246917693,63.22134387351779,638.8833307490372,TRAT1;TESPA1;LCK,0,GO_BP,100,0.0651371104532822
GO_Biological_Process_2021_fixed.gmt,regulation of lymphocyte activation (GO:0051249),3/15,5.088604620506696e-05,0.0022753332088837086,58.15972027972028,574.9624473713704,SIT1;LAT;LCK,0,GO_BP,100,0.07521687789190348
GO_Biological_Process_2021_fixed.gmt,positive regulation of interleukin-4 production (GO:0032753),3/18,9.028899046520637e-05,0.0038536982748558534,46.8935258290097,436.69572606862397,GATA3;CD28;CD40LG,0,GO_BP,100,0.10356467558074849
GO_Biological_Process_2021_fixed.gmt,cellular response to interleukin-7 (GO:0098761),3/19,0.00010683694066501236,0.004179995303518608,44.048527230345414,402.7888424440746,IL7R;SOCS1;CISH,0,GO_BP,100,0.10785394005374573
GO_Biological_Process_2021_fixed.gmt,interleukin-7-mediated signaling pathway (GO:0038111),3/19,0.00010683694066501236,0.004179995303518608,44.048527230345414,402.7888424440746,IL7R;SOCS1;CISH,0,GO_BP,100,0.10785394005374573
GO_Biological_Process_2021_fixed.gmt,regulation of interleukin-12 production (GO:0032655),4/51,0.00011628552923595405,0.004367684478102434,19.910190369540874,180.375611718803,CCR7;LTB;IL23A;CD40LG,0,GO_BP,100,0.1107373573197457
GO_Biological_Process_2021_fixed.gmt,positive regulation of gene expression (GO:0010628),10/482,0.0001257290420441147,0.0043725766844231,4.9583118001722655,44.53248950905857,LEF1;CD28;CD3E;ITK;PASK;RGCC;ADTRP;MYC;TNRC6C;EPHX2,0,GO_BP,100,0.1107373573197457
GO_Biological_Process_2021_fixed.gmt,positive regulation of lymphocyte differentiation (GO:0045621),3/20,0.00012524368544121605,0.0043725766844231,41.52867132867133,373.14546228273986,RHOH;CD27;GATA3,0,GO_BP,100,0.1107373573197457
GO_Biological_Process_2021_fixed.gmt,positive regulation of antigen receptor-mediated signaling pathway (GO:0050857),3/21,0.00014559827959907605,0.004714371880811462,39.281232281232285,347.0363016617367,TESPA1;LCK;TRAT1,0,GO_BP,100,0.11489583497989336
GO_Biological_Process_2021_fixed.gmt,positive regulation of protein kinase B signaling (GO:0051897),6/161,0.00014451088000430864,0.004714371880811462,8.975543924707207,79.36315740489393,FLT3LG;TRAT1;CD28;GATA3;CCR7;LCK,0,GO_BP,100,0.11489583497989336
GO_Molecular_Function_2021_fixed.gmt,1-phosphatidylinositol-3-kinase regulator activity (GO:0046935),3/16,6.455214232644818e-05,0.0049705149591365095,53.49082125603865,516.0814361497036,SOCS1;SOCS3;CISH,0,GO_MF,100,0.11902152967855405
GO_Molecular_Function_2021_fixed.gmt,phosphatidylinositol 3-kinase regulator activity (GO:0035014),3/19,0.00011050498913774164,0.005672589442404071,43.754150197628455,398.6199927438013,SOCS1;SOCS3;CISH,0,GO_MF,100,0.1319410109322018
GO_Cellular_Component_2021_fixed.gmt,clathrin-coated endocytic vesicle membrane (GO:0030669),4/69,0.00029972189619911386,0.005894530625249239,15.479782329377976,125.58214165446185,IL7R;LDLRAP1;CD3G;CD3D,0,GO_CC,100,0.13385421976059897
GO_Biological_Process_2021_fixed.gmt,membrane raft distribution (GO:0031580),2/5,0.0002398083280419155,0.007506000667711956,146.40886699507388,1220.41608626609,MAL;CD2,0,GO_BP,100,0.15405860161669235
GO_Biological_Process_2021_fixed.gmt,tumor necrosis factor-mediated signaling pathway (GO:0033209),5/116,0.0002722625705126403,0.008246921087463523,10.470529406071556,85.9498915075988,LTB;CD40LG;CD27;TNFRSF25;TNFRSF4,0,GO_BP,100,0.16007977862302925
GO_Cellular_Component_2021_fixed.gmt,clathrin-coated endocytic vesicle (GO:0045334),4/85,0.0006641159979503687,0.008313606492535852,12.423312883435583,90.90204784831208,IL7R;LDLRAP1;CD3G;CD3D,0,GO_CC,100,0.16007977862302925
GO_Cellular_Component_2021_fixed.gmt,clathrin-coated vesicle membrane (GO:0030665),4/90,0.0008236970673466087,0.008313606492535852,11.700051508040978,83.09034626372372,IL7R;LDLRAP1;CD3G;CD3D,0,GO_CC,100,0.16007977862302925
GO_Cellular_Component_2021_fixed.gmt,endocytic vesicle membrane (GO:0030666),5/158,0.0008454515077155105,0.008313606492535852,8.172638436482085,57.826645339846635,ATP6V0E2;IL7R;CD3D;CD3G;LDLRAP1,0,GO_CC,100,0.16007977862302925
GO_Biological_Process_2021_fixed.gmt,beta-catenin-TCF complex assembly (GO:1904837),3/29,0.00038878785237317945,0.011250462454985554,27.407969389101464,215.22044183795487,LEF1;TCF7;MYC,0,GO_BP,100,0.1983899815562
GO_Biological_Process_2021_fixed.gmt,cellular response to tumor necrosis factor (GO:0071356),6/194,0.00039538366455220793,0.011250462454985554,7.387616410772716,57.886805797392995,LTB;GATA3;CD40LG;CD27;TNFRSF25;TNFRSF4,0,GO_BP,100,0.1983899815562
GO_Cellular_Component_2021_fixed.gmt,beta-catenin-TCF complex (GO:1990907),2/13,0.0016339044129583423,0.013771480052077456,47.339544513457554,303.7675741917126,LEF1;TCF7,0,GO_CC,100,0.22762550325015635
GO_Biological_Process_2021_fixed.gmt,gamma-delta T cell activation (GO:0046629),2/7,0.0005003696300103334,0.0138190318405795,93.15673981191223,708.006451148678,TCF7;ITK,0,GO_BP,100,0.2279072558078796
GO_Biological_Process_2021_fixed.gmt,positive regulation of interleukin-10 production (GO:0032733),3/32,0.0005221503128015439,0.014008546963447133,24.61574019201138,186.03481174468703,CD28;IL23A;CD40LG,0,GO_BP,100,0.2300739158189646
GO_Biological_Process_2021_fixed.gmt,regulation of protein kinase B signaling (GO:0051896),6/207,0.0005574804355260697,0.014540948026638318,6.90487402872616,51.731890352945115,FLT3LG;TRAT1;CD28;GATA3;CCR7;LCK,0,GO_BP,100,0.23278304277499828
GO_Biological_Process_2021_fixed.gmt,B cell receptor signaling pathway (GO:0050853),3/34,0.0006254895960378743,0.015240956605845237,23.04972804972805,170.0372874307279,LCK;BCL2;ITK,0,GO_BP,100,0.2372191391713953
GO_Biological_Process_2021_fixed.gmt,immunological synapse formation (GO:0001771),2/8,0.0006650190956371812,0.015240956605845237,78.81962864721486,576.6203476275823,CD6;CCR7,0,GO_BP,100,0.2372191391713953
GO_Biological_Process_2021_fixed.gmt,positive regulation of lymphocyte activation (GO:0051251),3/35,0.0006817041293349307,0.015240956605845237,22.338999462076384,162.87174229130525,SIRPG;LCK;IL23A,0,GO_BP,100,0.2372191391713953
GO_Biological_Process_2021_fixed.gmt,positive regulation of macromolecule metabolic process (GO:0010604),8/384,0.0006081586053750386,0.015240956605845237,4.918421551887687,36.42127971548259,LEF1;CD28;CD3E;RGCC;ADTRP;MYC;TNRC6C;EPHX2,0,GO_BP,100,0.2372191391713953
GO_Biological_Process_2021_fixed.gmt,regulation of T cell receptor signaling pathway (GO:0050856),3/35,0.0006817041293349307,0.015240956605845237,22.338999462076384,162.87174229130525,TESPA1;LCK;TRAT1,0,GO_BP,100,0.2372191391713953
GO_Biological_Process_2021_fixed.gmt,regulation of extracellular matrix constituent secretion (GO:0003330),2/8,0.0006650190956371812,0.015240956605845237,78.81962864721486,576.6203476275823,ADTRP;RGCC,0,GO_BP,100,0.2372191391713953
GO_Biological_Process_2021_fixed.gmt,lymphocyte proliferation (GO:0046651),3/38,0.0008693565866567516,0.018815809470460097,20.44705998227125,144.10591370770047,TNFRSF4;BCL2;CD40LG,0,GO_BP,100,0.2652319104788819
GO_Biological_Process_2021_fixed.gmt,regulation of cytokine production (GO:0001817),5/150,0.0008816779730567032,0.018815809470460097,8.005315335360578,56.30685581588662,CD28;ITK;GATA3;RGCC;CCR7,0,GO_BP,100,0.2652319104788819
GO_Biological_Process_2021_fixed.gmt,negative regulation of tyrosine phosphorylation of STAT protein (GO:0042532),2/10,0.0010619375140440714,0.02215909612638629,60.2657200811359,412.6791725764446,SOCS1;SOCS3,0,GO_BP,100,0.2869161302603674
GO_Molecular_Function_2021_fixed.gmt,kinase inhibitor activity (GO:0019210),3/33,0.0005918309887121579,0.022785493065418078,23.642337847469708,175.71669829612904,RHOH;SOCS1;SOCS3,0,GO_MF,100,0.294007631591949
GO_Biological_Process_2021_fixed.gmt,phosphatidylinositol phosphate biosynthetic process (GO:0046854),3/42,0.001166382379735218,0.023809414229812385,18.37151456138798,124.07842245060223,SOCS1;SOCS3;CISH,0,GO_BP,100,0.3035497162302531
GO_Biological_Process_2021_fixed.gmt,negative regulation of receptor signaling pathway via STAT (GO:1904893),2/11,0.0012937640140384186,0.02584775338685266,53.918330308529946,358.56765158188307,SOCS1;SOCS3,0,GO_BP,100,0.3117852586505295
GO_Biological_Process_2021_fixed.gmt,regulation of endothelial cell apoptotic process (GO:2000351),3/44,0.001336099768459988,0.026137451720498518,17.483781278962002,115.70767376471512,GATA3;RGCC;CD40LG,0,GO_BP,100,0.31293734263436607
GO_Molecular_Function_2021_fixed.gmt,tumor necrosis factor-activated receptor activity (GO:0005031),2/9,0.0008745181228237453,0.026935158182971358,67.63247863247864,476.2569269628264,TNFRSF4;TNFRSF25,0,GO_MF,100,0.31981743359824355
GO_Biological_Process_2021_fixed.gmt,positive regulation of intracellular signal transduction (GO:1902533),9/546,0.001454281529586958,0.02731140712564307,3.865840582282975,25.256477061471625,FLT3LG;TRAT1;CD28;GATA3;BCL2;CCR7;CD27;LCK;IL23A,0,GO_BP,100,0.31981743359824355
GO_Biological_Process_2021_fixed.gmt,regulation of receptor signaling pathway via JAK-STAT (GO:0046425),3/45,0.0014264708254824621,0.02731140712564307,17.071246400658165,111.86022700241246,SOCS1;SOCS3;OCIAD2,0,GO_BP,100,0.31981743359824355
GO_Biological_Process_2021_fixed.gmt,regulation of leukocyte cell-cell adhesion (GO:1903037),2/12,0.0015475430515573554,0.02849299853749719,48.779967159277504,315.65939835585016,ADTRP;LCK,0,GO_BP,100,0.33157506553526717
GO_Biological_Process_2021_fixed.gmt,positive regulation of cell-cell adhesion (GO:0022409),3/47,0.0016185269139447592,0.029226861003733246,16.301799324271233,104.75925623697051,SIRPG;LCK;CD3E,0,GO_BP,100,0.3359290439367555
GO_Biological_Process_2021_fixed.gmt,regulation of interleukin-10 production (GO:0032653),3/48,0.001720324373421126,0.030478954464951646,15.942442173211404,101.47750914733636,CD28;IL23A;CD40LG,0,GO_BP,100,0.3477692461019593
GO_Biological_Process_2021_fixed.gmt,cellular defense response (GO:0006968),3/49,0.001826041270075205,0.030618799153582454,15.598541243702535,98.35823803221308,LGALS3BP;TRAT1;ITK,0,GO_BP,100,0.3477692461019593
GO_Biological_Process_2021_fixed.gmt,regulation of T cell differentiation in thymus (GO:0033081),2/13,0.0018230573535596402,0.030618799153582454,44.53523238380809,280.8944134717277,CAMK4;TESPA1,0,GO_BP,100,0.3477692461019593
GO_Biological_Process_2021_fixed.gmt,regulation of interleukin-5 production (GO:0032674),2/13,0.0018230573535596402,0.030618799153582454,44.53523238380809,280.8944134717277,LEF1;GATA3,0,GO_BP,100,0.3477692461019593
GO_Biological_Process_2021_fixed.gmt,regulation of response to interferon-gamma (GO:0060330),2/14,0.002120091210509258,0.03492571309944199,40.969655172413795,252.22133111757296,SOCS1;SOCS3,0,GO_BP,100,0.37169516035032923
GO_Biological_Process_2021_fixed.gmt,positive regulation of B cell activation (GO:0050871),3/53,0.0022891584203193153,0.03706068545999719,14.35913591359136,87.29738673053902,TNFRSF4;BCL2;CD27,0,GO_BP,100,0.3820077856868312
GO_Molecular_Function_2021_fixed.gmt,death receptor activity (GO:0005035),2/12,0.0015877922696067672,0.04075333491990703,48.2967032967033,311.2920900049619,TNFRSF4;TNFRSF25,0,GO_MF,100,0.4022036528224906
GO_Biological_Process_2021_fixed.gmt,negative regulation of programmed cell death (GO:0043069),7/381,0.0027577995690376803,0.04207117575285668,4.298917074618009,25.334903323588627,LEF1;CD28;BCL2;CD40LG;PRDX2;CD27;MYC,0,GO_BP,100,0.4071421684580211
GO_Biological_Process_2021_fixed.gmt,negative regulation of receptor signaling pathway via JAK-STAT (GO:0046426),2/16,0.0027778625097732846,0.04207117575285668,35.313912009512485,207.8602826633322,SOCS1;SOCS3,0,GO_BP,100,0.4071421684580211
GO_Biological_Process_2021_fixed.gmt,positive regulation of endothelial cell apoptotic process (GO:2000353),2/16,0.0027778625097732846,0.04207117575285668,35.313912009512485,207.8602826633322,RGCC;CD40LG,0,GO_BP,100,0.4071421684580211
GO_Biological_Process_2021_fixed.gmt,regulation of interleukin-13 production (GO:0032656),2/16,0.0027778625097732846,0.04207117575285668,35.313912009512485,207.8602826633322,LEF1;GATA3,0,GO_BP,100,0.4071421684580211
GO_Molecular_Function_2021_fixed.gmt,kinase binding (GO:0019900),8/461,0.0020413479947005426,0.044909655883411934,4.078322045466478,25.26171772960205,CD3E;SIT1;RGCC;LAT;PIK3IP1;LCK;RHOH;SOCS1,0,GO_MF,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,regulation of leukocyte migration (GO:0002685),2/17,0.0031381762624517096,0.04677377000701834,33.03337041156841,190.4080948841325,RHOH;ADTRP,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,regulation of apoptotic process (GO:0042981),10/742,0.0034749169613174347,0.05098354729182923,3.1405825859195176,17.782558655380175,LEF1;CD28;CD3E;BEX2;BCL2;CD40LG;PRDX2;CD27;TNFRSF25;MYC,0,GO_BP,100,0.4111300413599779
GO_Cellular_Component_2021_fixed.gmt,membrane raft (GO:0045121),4/163,0.007101809975917759,0.05237584857239347,6.304385610974891,31.190352684097807,MAL;LDHB;LAT;LCK,0,GO_CC,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,positive regulation of macromolecule biosynthetic process (GO:0010557),4/129,0.0038320824298230622,0.055358852332367,7.496058319911842,41.71066893601877,CD28;PASK;MYC;RGCC,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,ureteric bud morphogenesis (GO:0060675),2/19,0.003920612198601199,0.05577961900737161,29.254187192118227,162.1122966860107,GATA3;MYC,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,canonical Wnt signaling pathway (GO:0060070),3/68,0.004644504957508915,0.06413514933971869,11.059574013772487,59.41281116640553,LEF1;TCF7;GATA3,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,regulation of tyrosine phosphorylation of STAT protein (GO:0042509),3/68,0.004644504957508915,0.06413514933971869,11.059574013772487,59.41281116640553,SOCS1;SOCS3;IL23A,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,cellular response to decreased oxygen levels (GO:0036294),3/69,0.004838522437561279,0.06490532241242916,10.89252852410747,58.069658633322724,RGCC;MYC;AQP3,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,regulation of cholesterol metabolic process (GO:0090181),2/21,0.0047840799723929996,0.06490532241242916,26.25022104332449,140.24079649366118,EPHX2;LDLRAP1,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,myeloid leukocyte differentiation (GO:0002573),3/71,0.005241103286885898,0.06931543642796983,10.573069266499923,55.52154717597692,LEF1;CAMK4;CCR7,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,apoptotic process (GO:0006915),5/231,0.005742852469647088,0.07287214147295426,5.114186796258357,26.388177176034077,CD2;BCL2;MAL;TNFRSF25;MYC,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,positive regulation of epithelial cell apoptotic process (GO:1904037),2/23,0.005726945216915108,0.07287214147295426,23.805132317562148,122.89573363479091,RGCC;CD40LG,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,regulation of interferon-gamma-mediated signaling pathway (GO:0060334),2/23,0.005726945216915108,0.07287214147295426,23.805132317562148,122.89573363479091,SOCS1;SOCS3,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,dendritic cell differentiation (GO:0097028),2/24,0.00622764762185854,0.07797014822566892,22.745593869731803,115.51933512952856,CCR7;CAMK4,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,regulation of epithelial to mesenchymal transition (GO:0010717),3/76,0.0063339192933349695,0.07825723969002021,9.85048285048285,49.86152942670994,LEF1;GATA3;RGCC,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,response to cytokine (GO:0034097),4/150,0.00652489309867274,0.07956980025524289,6.412388352334617,32.267976347437745,LEF1;CCR7;LDLRAP1;BCL2,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,negative regulation of sequestering of calcium ion (GO:0051283),2/25,0.006747597200144106,0.08123068937096559,21.776228906823185,108.84997856557726,CCR7;LCK,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,membrane organization (GO:0061024),5/242,0.006964084740269651,0.08277564014067344,4.873653918970087,24.207385838196696,IL7R;AAK1;CD3D;CD3G;LDLRAP1,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,positive regulation of cellular component movement (GO:0051272),2/27,0.007844448527619046,0.0898285020418815,20.065584854631506,97.27693586899815,CCR7;SPOCK2,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,positive regulation of nuclear division (GO:0051785),2/27,0.007844448527619046,0.0898285020418815,20.065584854631506,97.27693586899815,RGCC;CD28,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,release of sequestered calcium ion into cytosol (GO:0051209),2/27,0.007844448527619046,0.0898285020418815,20.065584854631506,97.27693586899815,CCR7;LCK,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,protein autophosphorylation (GO:0046777),4/159,0.007986587791699846,0.0903542883904356,6.0375590066361084,29.161359710890487,CAMK4;AAK1;PASK;ITK,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,lymphocyte differentiation (GO:0030098),3/84,0.008346637512356904,0.09302683156281973,8.878759277532284,42.492823078120544,RHOH;GATA3;LCK,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,protein localization to cell surface (GO:0034394),2/28,0.008420959193652478,0.09302683156281973,19.307091737150294,92.23058614952184,FBLN5;RIC3,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,regulation of interferon-gamma production (GO:0032649),3/86,0.008901921461964035,0.09719656107888638,8.664921904442863,40.91132592737698,CCR7;CD2;IL23A,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,regulation of DNA biosynthetic process (GO:2000278),2/29,0.009015934848562059,0.09730991750344567,18.603761755485895,87.60068135985887,RGCC;MYC,0,GO_BP,100,0.4111300413599779
GO_Cellular_Component_2021_fixed.gmt,integral component of plasma membrane (GO:0005887),13/1454,0.015127410271714945,0.09916857844790908,2.257249601945764,9.460690466551373,TRAT1;CD28;CD3E;CD6;SIT1;CD2;CD40LG;TRABD2A;CD27;TNFRSF25;CD3G;CD5;TNFRSF4,0,GO_CC,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,positive regulation of B cell proliferation (GO:0030890),2/30,0.009629183501420821,0.1027477648617517,17.949788263762855,83.3400922629711,TNFRSF4;BCL2,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,second-messenger-mediated signaling (GO:0019932),3/89,0.00977465830879397,0.10312813653884874,8.362706657504345,38.70228970974113,CCR7;LAT;RCAN3,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,negative regulation of apoptotic process (GO:0043066),7/485,0.010070219706148497,0.10359809867653749,3.3404156507604785,15.359808234366431,LEF1;CD28;BCL2;CD40LG;PRDX2;CD27;MYC,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732),2/31,0.010260514565407866,0.10359809867653749,17.340151957919346,79.4083985566305,SOCS1;SOCS3,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,positive regulation of leukocyte cell-cell adhesion (GO:1903039),2/31,0.010260514565407866,0.10359809867653749,17.340151957919346,79.4083985566305,SIRPG;LCK,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,positive regulation of locomotion (GO:0040017),2/31,0.010260514565407866,0.10359809867653749,17.340151957919346,79.4083985566305,CCR7;SPOCK2,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,protein-containing complex assembly (GO:0065003),5/267,0.010395986074239536,0.10384926514586089,4.401959575196985,20.100824285421773,LEF1;TCF7;CD3E;CD3G;MYC,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,B cell proliferation (GO:0042100),2/32,0.010909738848914958,0.10671088311594944,16.770491803278688,75.77074922709468,BCL2;CD40LG,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,positive regulation of receptor signaling pathway via STAT (GO:1904894),2/32,0.010909738848914958,0.10671088311594944,16.770491803278688,75.77074922709468,IL7R;OCIAD2,0,GO_BP,100,0.4111300413599779
GO_Biological_Process_2021_fixed.gmt,regulation of protein localization to cell surface (GO:2000008),2/33,0.011576668546704921,0.1109233853607747,16.237000547345374,72.3969460150326,RIC3;LEPROTL1,0,GO_BP,100,0.4111300413599779
