Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,group,pathway_db,n_genes,p_adj_global
Reactome_2022_fixed.gmt,GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,62/109,4.822802573670923e-115,2.1614924261997865e-113,699.1565452091768,184034.73385665566,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,6.325312836306466e-111
Reactome_2022_fixed.gmt,Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,62/112,5.577977118191796e-114,2.2916189327237963e-112,657.4320893627824,171442.42797158475,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,6.147267787031584e-110
Reactome_2022_fixed.gmt,Selenoamino Acid Metabolism R-HSA-2408522,62/114,2.69972826381249e-113,1.0238200261996598e-111,632.2649572649573,163882.42213900053,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,2.535135895643619e-109
Reactome_2022_fixed.gmt,Cap-dependent Translation Initiation R-HSA-72737,62/116,1.2538324547812328e-112,4.415281430051055e-111,608.9449541284404,156902.7819823957,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,1.015199351666739e-108
Reactome_2022_fixed.gmt,Influenza Viral RNA Transcription And Replication R-HSA-168273,62/137,1.6594621930526994e-106,5.454099074499872e-105,438.67804381049416,106847.7259675976,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,1.1704496613876727e-102
KEGG_2021_Human_fixed.gmt,Ribosome,68/158,1.8812326301947052e-105,1.9941065880063877e-103,306.7022241110639,73958.02328602487,RPS5;RPL37A;RPS27;RPL10;RPS4Y1;RPS3A;RPS12;RPLP0;RPS18;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL17;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPL13;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPL24;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPS26;RPL23A;RPL35;RPL37;RPL13A,0,KEGG,100,4.011893191745351e-101
Reactome_2022_fixed.gmt,Cellular Response To Starvation R-HSA-9711097,62/153,1.1839942938783805e-102,3.64818241801276e-101,361.4088552613143,84820.7738603214,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,6.907940707990044e-99
Reactome_2022_fixed.gmt,Influenza Infection R-HSA-168255,62/157,8.994119695059364e-102,2.6082947115672156e-100,346.13706537790307,80534.71014227871,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,4.664500375852704e-98
Reactome_2022_fixed.gmt,Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,62/167,1.0815818196757314e-99,2.9623324283340867e-98,313.02406124681005,71331.14038810987,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,5.018814782530224e-96
Reactome_2022_fixed.gmt,Major Pathway Of rRNA Processing In Nucleolus And Cytosol R-HSA-6791226,62/179,2.139786085198574e-97,5.552181789488931e-96,280.7283142389525,62487.32898536189,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,8.936236590182436e-94
Reactome_2022_fixed.gmt,rRNA Processing In Nucleus And Cytosol R-HSA-8868773,62/189,1.2640260891347137e-95,3.1158243097170695e-94,258.4590246354952,56476.21279141157,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,4.776113549037736e-92
Reactome_2022_fixed.gmt,Signaling By ROBO Receptors R-HSA-376176,63/209,9.081247910297003e-95,2.131931057036392e-93,240.44599206715247,52066.02417412494,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;EVL;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,3.119402760272793e-91
Reactome_2022_fixed.gmt,rRNA Processing R-HSA-72312,62/199,5.773615483041993e-94,1.2938147423362285e-92,239.42890442890442,51402.9197246966,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,1.810778111121878e-90
KEGG_2021_Human_fixed.gmt,Coronavirus disease,69/232,9.225884485789066e-94,4.8897187774682055e-92,179.87627076617903,38533.2720234143,RPS5;RPL37A;RPS27;RPL10;RPS4Y1;RPS3A;RPS12;RPLP0;JUN;RPS18;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL17;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPL13;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPL24;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPS26;RPL23A;RPL35;RPL37;RPL13A,0,KEGG,100,6.558335310279231e-90
Reactome_2022_fixed.gmt,Translation R-HSA-72766,64/281,1.1177394408046724e-87,2.3958501926813196e-86,172.7032512315271,34577.538762923235,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;EEF1B2;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;EEF1A1;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,3.084896708096467e-84
Reactome_2022_fixed.gmt,Metabolism Of Amino Acids And Derivatives R-HSA-71291,62/364,1.340996974886709e-75,2.7546312859131147e-74,107.08306844670481,18461.171182134814,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,3.4104454266747367e-72
Reactome_2022_fixed.gmt,Axon Guidance R-HSA-422475,64/519,3.558489190153656e-69,7.01734068298301e-68,80.5395326956249,12693.758055422604,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;HSPA8;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;EVL;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,8.366229503156411e-66
Reactome_2022_fixed.gmt,Nervous System Development R-HSA-9675108,64/545,9.516411939374862e-68,1.8044581100430027e-66,75.99154428126391,11727.225491740424,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;HSPA8;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;EVL;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,2.0744823772244376e-64
Reactome_2022_fixed.gmt,Cellular Responses To Stress R-HSA-2262752,65/722,2.157888393173643e-61,3.9401443623503924e-60,58.87528517110266,8224.203836041499,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;JUN;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;HSPA8;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;EEF1A1;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,4.3735602422089356e-58
Reactome_2022_fixed.gmt,Cellular Responses To Stimuli R-HSA-8953897,65/736,7.792218833082258e-61,1.3719871016819833e-59,57.565039824905796,7967.264297461095,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;JUN;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;HSPA8;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;EEF1A1;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,1.4721421601047682e-57
Reactome_2022_fixed.gmt,Metabolism Of RNA R-HSA-8953854,63/666,3.4624294756856277e-60,5.886130108665567e-59,55.7692066548736,7635.536923840687,RPS5;RPL37A;RPS27;RPS4Y1;RPS3A;RPS12;RPLP0;RPL36;RPS10;RPS2;RPS4X;RPS27A;RPL21;RPL5;RPL34;RPL9;RPL14;RPSA;HSPA8;RPL22;RPL36A;RPS28;RPS20;RPL28;RPS15A;RPL27;RPL18;RPS25;RPS23;RPL10A;RPS3;RPLP1;RPS21;RPL15;RPLP2;RPL32;RPS19;RPS8;RPL27A;RPL7;RPS16;RPL31;RPL38;RPL7A;RPL11;RPL19;RPS6;RPL6;RPS15;RPS29;RPL18A;RPS7;RPS14;RPL3;RPL30;RPL35A;RPL12;RPS13;RPL4;RPL23A;RPL35;RPL37;RPL13A,0,REACTOME,100,6.112081554772406e-57
